divisao_cnae;divisao_descricao;quantidade;tipo_empresa;percentual_no_tipo
25;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS  E EQUIPAMENTOS;31;EPP;2.11
70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL;25;EPP;1.7
64;ATIVIDADES DE SERVIÇOS FINANCEIROS;19;EPP;1.29
22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;18;EPP;1.23
71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS";18;EPP;1.23
96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;16;EPP;1.09
81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;15;EPP;1.02
14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;15;EPP;1.02
66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;14;EPP;0.95
69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;13;EPP;0.89
10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;13;EPP;0.89
73;PUBLICIDADE E PESQUISA DE MERCADO;13;EPP;0.89
29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;13;EPP;0.89
74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;12;EPP;0.82
62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;11;EPP;0.75
77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;10;EPP;0.68
01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;10;EPP;0.68
75;ATIVIDADES VETERINÁRIAS;9;EPP;0.61
79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS;8;EPP;0.54
42;OBRAS DE INFRA-ESTRUTURA;8;EPP;0.54
93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;8;EPP;0.54
90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;7;EPP;0.48
63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;6;EPP;0.41
58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;6;EPP;0.41
16;FABRICAÇÃO DE PRODUTOS DE MADEIRA;5;EPP;0.34
02;PRODUÇÃO FLORESTAL;5;EPP;0.34
61;TELECOMUNICAÇÕES;5;EPP;0.34
72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO;5;EPP;0.34
